Words,Count
ḳhāmoshī,482
salāmat,482
siyāh,481
akelā,481
abrū,481
agarche,480
rāhat,480
deñge,479
aish,479
ruḳhsār,478
rabt,478
numā,477
karegā,477
DhūñD,477
adab,476
barf,476
bashar,475
miT,475
rakkhī,474
gulzār,474
mayassar,474
jidhar,474
banāte,474
bhañvar,474
paa.ī,473
bhulā,473
khīñch,472
tahrīr,470
himmat,470
uThtā,470
vaa.iz,470
khulī,470
suntā,469
jaisī,467
bistar,467
dushvār,467
sakī,466
samar,466
ġhaur,466
zāhid,466
girāñ,465
sukūn,465
guloñ,464
mahak,464
hinā,463
ḳhulūs,463
Dhal,463
lene,462
bayābāñ,462
barsāt,462
nāla,461
pairahan,461
sajā,460
parinde,460
kaif,460
aadat,460
maan,459
shīshe,459
girya,457
rakhā,457
chāhat,456
shā.irī,455
sahārā,455
daurāñ,453
rahegī,452
paiġhām,452
guhar,451
ġhurūr,448
achchhe,448
mātam,448
aziiz,448
ilm,448
kiran,448
dimāġh,447
pāgal,446
qalb,446
tāroñ,446
laayā,445
karb,445
zavāl,445
milnā,445
tai,445
dūsrā,443
ḳhurshīd,443
dostoñ,442
dosh,442
maanā,442
hazrat,442
rahūñ,442
hañste,442
zīst,441
begāna,441
taur,441
sabz,441
zulmat,441
faisla,441
vaj.h,440
afsos,439
imtihāñ,438
rab,438
zarf,438
hairāñ,438
juz,438
maujūd,438
rāhoñ,437
taḌap,437
āsāñ,437
gāh,436
ahbāb,435
huzūr,435
nafrat,434
parvāna,433
majbūr,433
mahtāb,433
kamar,433
badle,432
sharar,432
Daalā,432
dām,432
farq,432
khaḌe,431
bedār,430
bosa,430
tilism,429
chhīn,429
qāfila,429
pahlī,429
āġhosh,428
qazā,428
hisār,426
zada,426
pech,426
sāmān,425
paḌh,425
qais,424
bol,423
raakh,423
mizhgāñ,422
maare,422
dosto,422
ġharīb,422
mālūm,421
sambhal,421
rote,421
varaq,420
bhiiḌ,420
yād,420
utrā,419
buland,419
tāsīr,419
zulfoñ,418
niklī,418
sarv,418
banda,418
gumān,417
lāla,417
rañgīñ,417
chādar,416
salām,416
shiddat,415
vaalo,415
ujālā,415
bāl,414
ḳhamoshī,414
raunaq,414
halqa,414
leñge,414
pūchhte,414
nāseh,413
ḳhāl,413
siiñ,413
jā.iye,412
añdheroñ,412
koh,411
zāt,410
kāñToñ,410
qīmat,408
taġhāful,408
ḳhū,408
sharm,407
vā,407
ilāhī,407
paimāna,405
sone,404
khilā,404
jugnū,402
betāb,401
dahan,400
ḳhalvat,400
banī,399
āsān,398
ehsān,398
jale,398
ufuq,397
az,395
shart,395
suuñ,395
shu.ūr,395
pinhāñ,395
kaan,394
zindagānī,394
ka.aba,394
payām,393
kaafī,393
pahuñch,393
shikan,390
rā.egāñ,389
chāroñ,389
butāñ,389
charḳh,389
purānī,389
ayaañ,388
tadbīr,388
maza,388
sail,388
hū,387
jū,387
lahje,387
maqtal,387
giraftār,387
bajā,387
musībat,387
masīhā,387
butoñ,386
ḳhalā,386
royā,385
vus.at,385
pās,385
garmī,385
galiyoñ,383
tarab,383
gaañv,383
tīr,382
purāne,382
daam,381
chhoḌā,381
maazī,381
vār,381
pīr,380
sarāpā,380
bharā,380
muqābil,379
nadī,379
kash,379
ruup,379
chheḌ,377
aab,377
āj,377
sāmāñ,377
bandagī,377
zad,377
nāma,377
auroñ,376
irāda,376
aam,376
jaur,376
chehroñ,375
manzūr,375
'aḳhtar',374
'zafar',374
ajal,374
muskurā,373
nikāl,373
qabr,373
jazba,373
qubūl,373
badalte,373
nigāheñ,372
sīna,372
chaltī,372
vaar,371
ibtidā,370
fāsla,370
jaadū,369
gīr,369
sāñsoñ,369
zarre,369
phirtī,369
dāñ,369
chaah,368
sannāTā,368
choT,368
nasīm,367
paiham,366
alfāz,366
nisār,366
lams,366
nikalte,366
ḳhalq,366
nisbat,366
saal,365
nishān,365
kamre,364
faqīr,363
motī,363
muddatoñ,363
āshiqī,363
sāqī,362
yūsuf,362
sharīk,362
arsh,362
bahāroñ,361
hijrāñ,361
saaz,361
dīd,361
suno,360
gardan,359
nazreñ,358
chalne,357
jitnā,357
rāteñ,357
koshish,357
vīrānī,357
sailāb,357
faiz,356
matā,356
nashsha,356
bahāne,356
huiiñ,356
vagarna,355
rahmat,355
unhīñ,355
chhat,355
chaal,354
milegā,354
bhūle,354
raheñge,354
aahaT,354
ayyām,353
nākām,353
kāñTe,352
subū,352
bole,351
jaarī,351
junūn,350
shola,350
hoñT,350
maañ,350
mukammal,350
bharam,349
ash.ār,349
āsār,349
hairān,349
yāroñ,349
bijlī,349
shamshīr,348
ta.amīr,348
ḳhumār,348
bah,348
ġhamoñ,347
dhokā,347
TukḌe,347
ḳhudā.ī,346
rūh,346
jalve,345
ġhairoñ,345
tāqat,345
hamdam,345
Thiik,345
hove,344
shikār,343
vīrān,343
pūchhe,342
ravānī,342
jazb,342
lailā,341
muhāl,341
āstāñ,341
dārī,340
hasīn,340
kashī,340
vīrāñ,340
azm,340
fitna,339
DhūñDhtā,339
gavārā,338
qurb,338
qamar,337
ḳharīdār,337
jazbāt,337
maslahat,337
shak,337
uThī,336
dāstān,335
darvāza,334
marte,334
sāhib,334
nīm,334
Dartā,333
kahī,333
nashāt,333
kin,333
laa.ī,332
jabr,332
bahārāñ,332
re,332
afsāne,332
marnā,332
banāne,332
jaag,332
uThte,332
baare,331
ā.ankhoñ,331
lashkar,331
mahrūm,331
dushmanī,331
rotā,330
boltā,330
jashn,330
gaam,330
shafaq,329
ghabrā,329
phailā,329
fā.eda,329
ḳhalish,328
vaise,328
maañg,328
garāñ,328
havā.eñ,327
an,327
garche,326
shohrat,326
samjho,326
chupke,326
chalnā,326
izzat,325
banā.e,325
bachchoñ,324
Thahrī,324
baal,324
Tuk,324
āñdhī,324
thakan,324
rishte,323
nishānī,323
pukārā,323
Daalī,323
ḳhayāloñ,322
siina,322
